date,open,high,low,close,volume
10/05/07,22.0133,22.1927,21.9057,21.9415,55398600
11/05/07,21.9344,22.2285,21.92,22.164,43425300
14/05/07,22.1281,22.2357,22.1066,22.2214,70188500
15/05/07,22.2429,22.3797,22.1997,22.2429,75013900
16/05/07,22.3149,22.3797,22.1781,22.3653,45833600
17/05/07,22.3365,22.4156,22.2861,22.3005,41045600
18/05/07,22.2933,22.3077,22.0125,22.1925,58453000
21/05/07,22.1205,22.43,22.1205,22.3509,41836400
22/05/07,22.2429,22.2645,22.0701,22.0917,39999500
23/05/07,22.1997,22.1997,22.0053,22.0125,46322500
24/05/07,21.9837,22.1709,21.5662,21.7174,64046400
25/05/07,21.7966,22.0701,21.7246,21.9406,47726500
29/05/07,21.9478,22.1925,21.8758,22.1637,42373100
30/05/07,21.9909,22.4084,21.9621,22.394,57376800
31/05/07,22.4012,22.43,22.0341,22.0918,85290500
01/06/07,22.1637,22.2429,21.9909,22.0197,39469400
04/06/07,21.8974,22.1421,21.883,22.1097,41434500
05/06/07,22.0413,22.0485,21.8326,22.0125,44265000
06/06/07,21.8614,21.9765,21.775,21.8038,38217500
07/06/07,21.6094,21.8038,21.2999,21.3215,71971400
08/06/07,21.2927,21.6382,21.1703,21.631,61346200
11/06/07,21.5518,21.775,21.5446,21.6094,48467400
12/06/07,21.5662,21.7678,21.4295,21.4871,56981800
13/06/07,21.5734,21.8902,21.4871,21.8758,64435600
14/06/07,21.847,22.1061,21.811,21.9693,59065700
15/06/07,22.2141,22.2285,21.9046,21.9478,100933000
18/06/07,22.0917,22.1133,21.8974,21.9621,45412600
19/06/07,21.9406,22.0701,21.8686,21.9262,46802600
20/06/07,21.9118,21.9621,21.5662,21.6022,46861600
21/06/07,21.577,21.811,21.5302,21.7534,56564800
22/06/07,21.595,21.667,21.1991,21.2279,86219900
25/06/07,21.2135,21.4295,21.1487,21.2279,53905800
26/06/07,21.2711,21.4511,21.2351,21.2495,48340300
27/06/07,21.1343,21.559,21.1343,21.5015,53468600
28/06/07,21.4943,21.5734,21.3647,21.4727,46055200
29/06/07,21.5015,21.5446,20.904,21.2135,71193900
02/07/07,21.3575,21.4511,21.2279,21.4079,47316000
